"EV:AC_DAUNT" , "*$char* attrape *$char* dans un coin et se mets à lui hurler dessus..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que les $items sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "Malgré votre ténacité, vos tentatives de réparation de la $equipment restent infructueuses."
"EV:OBJECT_NOT_REPAIRED" , "Malgré votre ténacité, vos tentatives de réparation de la $item restent infructueuses."
"EV:OBJECT_NOT_REPAIRED" , "Malgré votre ténacité, vos tentatives de réparation du $equipment restent infructueuses."
"EV:OBJECT_NOT_REPAIRED" , "Malgré votre ténacité, vos tentatives de réparation du $item restent infructueuses."
"EV:OBJECT_NOT_REPAIRED" , "Qui aurait cru que ce $equipment : $equipment soit en fait une telle énigme. Les réparations échouent."
"EV:OBJECT_NOT_REPAIRED" , "Qui aurait cru que ce $equipment soit en fait une telle énigme. Les réparations échouent."
"EV:OBJECT_NOT_REPAIRED" , "Qui aurait cru que ce $item soit en fait une telle énigme. Les réparations échouent."
"EV:OBJECT_NOT_REPAIRED" , "Vous avez échoué les réparations de la $equipment."
"EV:OBJECT_NOT_REPAIRED" , "Vous avez échoué les réparations de la $item."
"EV:OBJECT_NOT_REPAIRED" , "Vous avez échoué les réparations du $equipment : $equipment."
"EV:OBJECT_NOT_REPAIRED" , "Vous avez échoué les réparations du $equipment."
"EV:OBJECT_NOT_REPAIRED" , "Vous avez échoué les réparations du $item."
"EV:OBJECT_NOT_SABOTAGED" , "Votre sabotage échoue... c'est plus dur qu'il n'y parait."
"EV:OBJECT_PICKED" , "*$char* a pris un *$item*."
"EV:OBJECT_PICKED" , "*$char* a pris une *$item*."
"EV:OBJECT_REPAIRED" , "$char a enfin remis la $equipment à neuf."
"EV:OBJECT_REPAIRED" , "$char a enfin remis la $item à neuf."
"EV:OBJECT_REPAIRED" , "$char a enfin remis le $equipment : $equipment à neuf."
"EV:OBJECT_REPAIRED" , "$char a enfin remis le $equipment à neuf."
"EV:OBJECT_REPAIRED" , "$char a enfin remis le $item à neuf."
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Antenne"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Caméra"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Chambre de Combustion"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Combinaison"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Corde"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Cuisine"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Douche"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Myco-Alarme"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Porte"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Tabulatrice"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparation sur cette maudite Trottinette Anti-Grav."
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit $equipment : Pasiphae"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Bidouilleur"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Calculateur"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Centre de Communication"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Coeur de NERON"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Drone de Soutien"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Extincteur"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Gants de protection"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Laboratoire de Recherche"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Lizaro Jungle"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Machine à café"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Micro-onde"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Mycoscan"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Patrouilleur"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Plot Chirurgical"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Poste de Pilotage"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Poste de tir"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Réacteur Latéral"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Réacteur d'urgence"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Réservoir d'Oxygène"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Réservoir de Fuel"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Scanner de Planète"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Simulateur de Gravité"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Sofa Suédois"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Supergélateur"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Tablier intachable"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Talkie-Walkie"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Terminal Astro"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Terminal BIOS"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Terminal de Commandement"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Traqueur"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit Vaguoscope"
"EV:OBJECT_REPAIRED" , "$char a enfin réussi les réparations sur ce maudit iTrakie®©"
"EV:OBJECT_REPAIRED" , "$char peut se féliciter. La $equipment est réparée."
"EV:OBJECT_REPAIRED" , "$char peut se féliciter. La $item est réparée."
"EV:OBJECT_REPAIRED" , "$char peut se féliciter. Le $equipment : $equipment est réparé."
"EV:OBJECT_REPAIRED" , "$char peut se féliciter. Le $equipment est réparé."
"EV:OBJECT_REPAIRED" , "$char peut se féliciter. Le $item est réparé."
"EV:OBJECT_REPAIRED" , "$char s'est finalement motivé et a réparé le $equipment : $equipment. Bravo."
"EV:OBJECT_REPAIRED" , "$char s'est finalement motivé et a réparé le $equipment. Bravo."
"EV:OBJECT_REPAIRED" , "$char s'est finalement motivé et a réparé le $item. Bravo."
"EV:OBJECT_REPAIRED" , "$char s'est finalement motivée et a réparé la $equipment. Bravo."
"EV:OBJECT_REPAIRED" , "$char s'est finalement motivée et a réparé la $item. Bravo."
"EV:OBJECT_REPAIRED" , "Félicitation $char. La $equipment fonctionne à nouveau."
"EV:OBJECT_REPAIRED" , "Félicitation $char. La $item fonctionne à nouveau."
"EV:OBJECT_REPAIRED" , "Félicitation $char. Le $equipment : $equipment fonctionne à nouveau."
"EV:OBJECT_REPAIRED" , "Félicitation $char. Le $equipment fonctionne à nouveau."
"EV:OBJECT_REPAIRED" , "Félicitation $char. Le $item fonctionne à nouveau."
"EV:OBJECT_REPAIRED" , "La $equipment est à nouveau fonctionnelle, merci $char."
"EV:OBJECT_REPAIRED" , "La $item est à nouveau fonctionnelle, merci $char."
"EV:OBJECT_REPAIRED" , "La dernière tentative de $char pour réparer la $equipment s'est avérée fructueuse."
"EV:OBJECT_REPAIRED" , "La dernière tentative de $char pour réparer la $item s'est avérée fructueuse."
"EV:OBJECT_REPAIRED" , "La dernière tentative de $char pour réparer le $equipment : $equipment s'est avérée fructueuse."
"EV:OBJECT_REPAIRED" , "La dernière tentative de $char pour réparer le $equipment s'est avérée fructueuse."
"EV:OBJECT_REPAIRED" , "La dernière tentative de $char pour réparer le $item s'est avérée fructueuse."
"EV:OBJECT_REPAIRED" , "Le $equipment : $equipment est à nouveau fonctionnel, merci $char."
"EV:OBJECT_REPAIRED" , "Le $equipment est à nouveau fonctionnel, merci $char."
"EV:OBJECT_REPAIRED" , "Le $item est à nouveau fonctionnel, merci $char."
"EV:OBJECT_SABOTAGED" , "Étrange, *$char* s'affaire sur un *$equipment : $equipment* qui émet une petite fumée..."
"EV:OBJECT_SABOTAGED" , "Étrange, *$char* s'affaire sur un *$equipment* qui émet une petite fumée..."
"EV:OBJECT_SABOTAGED" , "Étrange, *$char* s'affaire sur un *$item* qui émet une petite fumée..."
"EV:OBJECT_SLIMED" , "*$char* projette rapidement une infâme gelée sur un *$equipment*. Il sera cassé d'ici ?? cycles..."
"EV:OVER_HEAL" , "Votre tentative de soin était inutile..."
"EV:OXY_INSERT" , "Pscchhhh... Et hop, un peu d'oxygène en plus !"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Annonce informative mineure : la probabilité de survie de l'espèce humaine est actuellement proche de zéro."
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Annonce informative mineure : oxygène insuffisant pour la survie de tous."
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Conseil automatique : « en cas de manque d'oxygène, essayer de trouver de l'oxygène. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Conseil automatique : « le décès d'un coéquipier peut améliorer les conditions de survie du reste de l'équipage. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Conseil automatique : « les cadavres ne dégagent pas d'oxygène, mais ils n'en consomment pas non plus. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Information intéressante : « l'oxygène est utile pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Information intéressante : « le manque d'oxygène ne tue pas forcément tout de suite. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Information intéressante : « les intelligences artificielles n'ont pas besoin d'oxygène pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* $char, cause : « oxygène insuffisant ». Notice du manuel : « l'absence d'oxygène est théoriquement fatale pour l'être humain. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Annonce informative mineure : la probabilité de survie de l'espèce humaine est actuellement proche de zéro."
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Annonce informative mineure : oxygène insuffisant pour la survie de tous."
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Conseil automatique : « en cas de manque d'oxygène, essayer de trouver de l'oxygène. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Conseil automatique : « le décès d'un coéquipier peut améliorer les conditions de survie du reste de l'équipage. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Conseil automatique : « les cadavres ne dégagent pas d'oxygène, mais ils n'en consomment pas non plus. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Information intéressante : « l'oxygène est utile pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Information intéressante : « le manque d'oxygène ne tue pas forcément tout de suite. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Information intéressante : « les intelligences artificielles n'ont pas besoin d'oxygène pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Décès probable :* Janic.. … $char, cause : « oxygène insuffisant ». Notice du manuel : « l'absence d'oxygène est théoriquement fatale pour l'être humain. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Annonce informative mineure : la probabilité de survie de l'espèce humaine est actuellement proche de zéro."
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Annonce informative mineure : oxygène insuffisant pour la survie de tous."
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Conseil automatique : « en cas de manque d'oxygène, essayer de trouver de l'oxygène. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Conseil automatique : « le décès d'un coéquipier peut améliorer les conditions de survie du reste de l'équipage. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Conseil automatique : « les cadavres ne dégagent pas d'oxygène, mais ils n'en consomment pas non plus. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Information intéressante : « l'oxygène est utile pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Information intéressante : « le manque d'oxygène ne tue pas forcément tout de suite. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Information intéressante : « les intelligences artificielles n'ont pas besoin d'oxygène pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* $char, cause : « oxygène insuffisant ». Notice du manuel : « l'absence d'oxygène est théoriquement fatale pour l'être humain. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Annonce informative mineure : la probabilité de survie de l'espèce humaine est actuellement proche de zéro."
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Annonce informative mineure : oxygène insuffisant pour la survie de tous."
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Conseil automatique : « en cas de manque d'oxygène, essayer de trouver de l'oxygène. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Conseil automatique : « le décès d'un coéquipier peut améliorer les conditions de survie du reste de l'équipage. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Conseil automatique : « les cadavres ne dégagent pas d'oxygène, mais ils n'en consomment pas non plus. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Information intéressante : « l'oxygène est utile pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Information intéressante : « le manque d'oxygène ne tue pas forcément tout de suite. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Information intéressante : « les intelligences artificielles n'ont pas besoin d'oxygène pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Inactivité vitale détectée :* Raluc.. … $char, cause : « oxygène insuffisant ». Notice du manuel : « l'absence d'oxygène est théoriquement fatale pour l'être humain. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Annonce informative mineure : la probabilité de survie de l'espèce humaine est actuellement proche de zéro."
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Annonce informative mineure : oxygène insuffisant pour la survie de tous."
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Conseil automatique : « en cas de manque d'oxygène, essayer de trouver de l'oxygène. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Conseil automatique : « le décès d'un coéquipier peut améliorer les conditions de survie du reste de l'équipage. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Conseil automatique : « les cadavres ne dégagent pas d'oxygène, mais ils n'en consomment pas non plus. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Information intéressante : « l'oxygène est utile pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Information intéressante : « le manque d'oxygène ne tue pas forcément tout de suite. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Information intéressante : « les intelligences artificielles n'ont pas besoin d'oxygène pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable et suffisante : « oxygène insuffisant ». Notice du manuel : « l'absence d'oxygène est théoriquement fatale pour l'être humain. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Annonce informative mineure : la probabilité de survie de l'espèce humaine est actuellement proche de zéro."
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Annonce informative mineure : oxygène insuffisant pour la survie de tous."
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Conseil automatique : « en cas de manque d'oxygène, essayer de trouver de l'oxygène. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Conseil automatique : « le décès d'un coéquipier peut améliorer les conditions de survie du reste de l'équipage. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Conseil automatique : « les cadavres ne dégagent pas d'oxygène, mais ils n'en consomment pas non plus. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Information intéressante : « l'oxygène est utile pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Information intéressante : « le manque d'oxygène ne tue pas forcément tout de suite. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Information intéressante : « les intelligences artificielles n'ont pas besoin d'oxygène pour survivre. »"
"EV:OXY_LOW_DAMMIT" , "*Signes vitaux non perceptibles :* $char, cause probable : « oxygène insuffisant ». Notice du manuel : « l'absence d'oxygène est théoriquement fatale pour l'être humain. »"
"EV:OXY_LOW_YOU_MISSED_DEATH" , "Vous ne respirez plus... Vous vous étouffez... Mais heureusement cette *$item* vous a sauvé la vie..."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Ce rictus est inquiétant."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Elle a l'air louche."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Elle a l'air tout à fait serein."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Etait-ce vraiment nécessaire ?"
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Il a l'air louche."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Il a l'air tout à fait serein."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Mais pourquoi ?"
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Sans doute pour faire une BA."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Son but est sans doute louable."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Son sourire vous rapelle quelque chose."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Vous connaissez ce rire..."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Vous devriez peut-être la surveiller de plus près."
"EV:OXY_REM" , "*$char* enlève délicatement un peu d'oxygène du réservoir. Vous devriez peut-être le surveiller de plus près."
"EV:PARASITED_PASSIVE_TRIUMPH_EARNED" , "Bienvenue parmi le Mush *$char*. Vous avez été récompensé avec *?? points de Triomphe*."
"EV:PARIA_TRIUMPH" , "Le Paria est crevé. Hop, *-8 Triomphe*."
"EV:PARIA_TRIUMPH" , "Le Paria est crevé. Hop, *8 Triomphe*."
"EV:PASIPHAE_PICK" , "Le $equipment piloté par *$char* a rapatrié un *$item*."
"EV:PASIPHAE_PICK" , "Le $equipment piloté par *$char* a rapatrié une *$item*."
"EV:PATROL_DISCHARGE" , "*$char* décharge du matériel de son monoplace."
"EV:PATROL_HIT" , "C'était presque ça ! *$char* a touché un *$hunter*."
"EV:PATROL_HIT_HUNTER_DOWN" , "*$char* pousse un bon hurlement ! Un **$hunter* de moins*, yes !"
"EV:PA_DOWN" , "Vous avez perdu $amount $pa_pm."
"EV:PILGRED_PROGRESS" , "*$char* a fait progresser la réparation de PILGRED."
"EV:PIPELINE_LEVEL" , "Le niveau de la chambre de combustion est maintenant de : $amount"
"EV:PREMONITION" , "Vous vous concentrez...Votre tête tourne...Vous revoyez *$char* faire quelque chose... ||Sa dernière action est$last_action."
"EV:PRINTER_FAILURE" , "Impossible de perforer le document sans une tabulatrice fonctionelle..."
"EV:PRINTER_PRINTING" , "La tabulatrice émet un grondement étonnant. Une perforation est en cours..."
"EV:PSY_SESSION" , "*$char* est satisfait. La séance de *$char* s'est bien passée. Mais il en faudra d'autres."
